iestades_kods;nosaukums
10000965;Vesele Brigita - ģimenes ārsta un pediatra prakse
620200038;Kuldīgas slimnīca, Sabiedrība ar ierobežotu atbildību
680200022;PUREŅU FELDŠERU - VECMĀŠU PUNKTS, PUREŅU PAGASTA PĀRVALDE
680200030;Ludzas medicīnas centrs, Sabiedrība ar ierobežotu atbildību
360200018;Žīgurs Jānis - ģimenes ārsta un arodveselības un arodslimību ārsta prakse
320200001;Aizkraukles slimnīca, Sabiedrība ar ierobežotu atbildību
684900004;LĪDUMNIEKU FELDŠERU - VECMĀŠU PUNKTS, Ciblas novada dome
19464506;Veselības centrs DMF, SIA
641600001;PRIEKULES SLIMNĪCA, SIA
900200075;Irlavas Sarkanā Krusta slimnīca, Sabiedrība ar ierobežotu atbildību 
540200002;Staņa Ināra - ģimenes ārsta prakse
10011803;Paula Stradiņa klīniskā universitātes slimnīca, Valsts sabiedrība ar ierobežotu atbildību 
10000994;Skudra Gunta - ārsta prakse zobārstniecībā
801600004;REHABILITĀCIJAS CENTRS KRIMULDA, Sabiedrība ar ierobežotu atbildību
806012001;Balt Aliance, Sabiedrība ar ierobežotu atbildību
941600026;DENTA PLUS, SIA
600200001;Krāslavas slimnīca, Sabiedrība ar ierobežotu atbildību
780200005;REHABILITĀCIJAS CENTRS RĀZNA, Sabiedrība ar ierobežotu atbildību 
130013001;Nacionālais rehabilitācijas centrs Vaivari, Valsts sabiedrība ar ierobežotu atbildību
420200052;CĒSU KLĪNIKA, Sabiedrība ar ierobežotu atbildību
10000469;Niāras Riekstiņas Privātprakse, Sabiedrība ar ierobežotu atbildību
320200017;Kirdeiķite Geņa - masiera prakse
660200025;SILFĪDA, Individuālais komersants
740200008;Ogres rajona slimnīca, Sabiedrība ar ierobežotu atbildību
400200024;Bauskas slimnīca, SIA
681000002;Kārsavas slimnīca, Sabiedrība ar ierobežotu atbildību
941600020;Sarkanā Krusta Smiltenes slimnīca, SIA 
900200046;Tukuma slimnīca, Sabiedrība ar ierobežotu atbildību
10040307;Latvijas Jūras medicīnas centrs, Akciju sabiedrība
110000048;Jēkabpils reģionālā slimnīca, Sabiedrība ar ierobežotu atbildību
10000463;PANACEA PRO, Sabiedrība ar ierobežotu atbildību
801400004;Zemīte Ināra - ģimenes ārsta prakse
130064003;SANARE-KRC JAUNĶEMERI, Sabiedrība ar ierobežotu atbildību 
10012202;Rīgas psihiatrijas un narkoloģijas centrs, Valsts sabiedrība ar ierobežotu atbildību 
50020401;Daugavpils reģionālā slimnīca, Sabiedrība ar ierobežotu atbildību 
250000092;Vidzemes slimnīca, Sabiedrība ar ierobežotu atbildību 
210000042;Veselības centrs2, Sabiedrība ar ierobežotu atbildību
804475401;Ārsta Nams, Sabiedrība ar ierobežotu atbildību 
10021301;Rīgas Dzemdību nams, SIA
10011804;Bērnu klīniskā universitātes slimnīca, Valsts sabiedrība ar ierobežotu atbildību 
10000995;medicīnas firma Elpa, Sabiedrība ar ierobežotu atbildību 
10001002;Ābelīte Anita - ārsta prakse dermatoloģijā, veneroloģijā
170020401;LIEPĀJAS REĢIONĀLĀ SLIMNĪCA, Sabiedrība ar ierobežotu atbildību
740200016;Šmitu zobārstniecība, sabiedrība ar ierobežotu atbildību 
130020302;Jūrmalas slimnīca, Sabiedrība ar ierobežotu atbildību 
50077422;Dakteres Zubovas privātprakse, IK
801000013;OlainMed, Sabiedrība ar ierobežotu atbildību 
761200020;Brencāns Oskars - masiera prakse
170077441;A.Lucenko ārsta prakse, SIA
10000981;Galkina Olga - ārsta prakse zobārstniecībā
250000007;Valmieras pilsētas2. pirmsskolas izglītības iestāde Ezītis
19275441;Koršunova Tatjana - ģimenes ārsta un pediatra prakse
740200030;Kaktiņa Signe - ģimenes ārsta  prakse
90000069;FITLAND, Sabiedrība ar ierobežotu atbildību
90000069;Veselības centrs un fitnesa klubs FITLAND, PRESTIŽS, Ražošanas-komerciālā sabiedrība SIA
809600006;Ivetas Vīksnes ģimenes ārsta prakse, Sabiedrība ar ierobežotu atbildību
19464509;STIRNAS, Zemnieku saimniecība
328200003;Skrīveru zobārstniecība, SIA 
761200010;Stare Mirdza - ģimenes ārsta prakse 
901200018;Aina Lazdāne, Individuālais komersants
427300004;Prindulis Jānis - ģimenes ārsta prakse 
427300003;Prindule Ilona -ģimenes ārsta prakse 
801000001;Jūlijas Jurgaitītes ārsta prakse ginekoloģijā un dzemdniecībā, Sabiedrība ar ierobežotu atbildību
427300005;Smeķe Aija - ģimenes ārsta prakse
761200021;Griščenko Olga - masiera prakse
641000001;Vidaja Ilga - ārsta prakse zobārstniecībā
641000002;Vidaja Ilga - ģimenes ārsta prakse
421200001;Rehabilitācijas centrs Līgatne, SIA
250000002;Valmieras pilsētas6. pirmsskolas izglītības iestāde Kārliena
250000003;Valmieras pilsētas5. pirmsskolas izglītības iestāde Vālodzīte
10000992;GLOBULUS, Sabiedrība ar ierobežotu atbildību 
19575413;Doncova Valentīna - ģimenes ārsta prakse
19575412;Rozeniece Aina - ģimenes ārsta prakse
10064801;Medicīnas sabiedrība ARS, Sabiedrība ar ierobežotu atbildību 
270000064;MEDENT, SIA
170065204;L. ATIĶES DOKTORĀTS, SIA
804435102;Ādažu slimnīca, Pašvaldības sabiedrība ar ierobežotu atbildību 
460200037;Polleks, Sabiedrība ar ierobežotu atbildību
840200034;Grigale Ilga - ģimenes ārsta prakse
10064111;Dziedniecība, Sabiedrība ar ierobežotu atbildību
700200041;Madonas slimnīca, Madonas novada pašvaldības SIA 
807600012;VESELĪBAS CENTRS NIKA, Sabiedrība ar ierobežotu atbildību
661400001;Valaine Daina - zobu higiēnista prakse 
460200004;Freiberga Sigrija - ārsta prakse kosmetoloģijā
130084001;Nodibinājums Sanatorija Belorusija Jūrmalā 
10000997;Mārītes Pukstas ārstu prakse, Sabiedrība ar ierobežotu atbildību 
460200001;Zīverte Santa - ģimenes ārsta prakse
10000384;Bebrišs Visvaldis - sporta ārsta prakse
804462601;Ādažu privātslimnīca, SIA 
801000010;OLAINES CIETUMS ( LATVIJAS CIETUMU SLIMNĪCA), Ieslodzījuma vietu pārvalde
210077406;Opolčenska Arianna - ārsta prakse zobārstniecībā 
880200003;Pediatriskais doktorāts, SIA 
880200005;Ozola Ieva - ārsta prakse pediatrijā
880200004;Čudere Anna - ārsta pediatra, bērnu neirolga un neonataloga prakse
380200020;Lupkina Līga - ģimenes ārsta prakse 
10001009;Valtere Andra - ārsta prakse endokrinoloģijā
10000117;FORSANA, SIA
941600006;BILSKAS FELDŠERU PUNKTS, Bilskas pagasta padome 
380200005;Semjonova Svetlana - ģimenes ārsta prakse
10001020;GLANCE, Sabiedrība ar ierobežotu atbildību 
10001007;Kadiša Anda - ārsta prakse reimatoloģijā 
90077209;Rozentāle Maija - ārsta prakse zobārstniecībā 
170077442;Brundzulis Gunārs - ārsta prakse ķirurģijā 
10001022;Sinter, SIA
380200018;Zondaka Natālija - ārsta internista prakse 
170000038;Brakovskis Jānis - ārsta prakse traumatoloģijā, ortopēdijā
400200001;Valijas Nagņibedas ģimenes ārsta prakse, SIA
940200016;Volāne Anna - ārsta prakse algoloģijā 
90012101;Slimnīca Ģintermuiža, Valsts sabiedrība ar ierobežotu atbildību 
941600012;Lūkina Zane - ģimenes ārsta un arodveselības un arodslimību ārsta prakse
10001028;A. Klīnika, Sabiedrība ar ierobežotu atbildību
941600017;Prauliņa Inese - masiera prakse 
940200004;ILONA KRASTIŅA, IK 
10001032;I.Mauliņa, Sabiedrība ar ierobežotu atbildību
10000126;Bubins Igors - ģimenes ārsta prakse 
50077409;Maļecka Janīna - ārsta prakse zobārstniecībā
941600013;Caune Sarmīte - ārsta prakse zobārstniecībā 
10000880;Rodain, Sabiedrība ar ierobežotu atbildību 
800800007;Ozola Guna - ārsta prakse oftalmoloģijā
460200002;Satevi, Sabiedrība ar ierobežotu atbildību
210020301;RĒZEKNES SLIMNĪCA, Sabiedrība ar ierobežotu atbildību
420200004;GUNTAS KAUGARES ĢIMENES ĀRSTA PRAKSE, Sabiedrība ar ierobežotu atbildību
10075427;V. MEĻŅIKAS ārsta prakse, Sabiedrība ar ierobežotu atbildību
10075426;S. MICKEVIČAS ārsta prakse, Sabiedrība ar ierobežotu atbildību
10001040;Migals Aigars - ārsta radiologa diagnosta prakse
50000019;Vasiļjevs Vladimirs - zobu tehniķa prakse 
380200004;Maksimova-Agafonova Ina - ārsta prakse dermatoloģijā, veneroloģijā
700200001;ZTR, SIA
940200002;Putna Rudīte - ārsta prakse oftalmoloģijā
400200010;Tēraude Aija  - ģimenes ārsta un pediatra prakse
10001043;SANA LV, Sabiedrība ar ierobežotu atbildību 
170077208;Metene Inga - ārsta prakse zobārstniecībā
170077207;Briedis Andris - ārsta prakse zobārstniecībā
170077207;Briedis Andris - ārsta prakse zobārstniecībā
885100006;Liepa Ingrīda - ģimenes ārsta prakse
130000048;Pavārs Māris - ārsta prakse ķirurģijā
90000074;Tomsone Zane-ārsta prakse ginekoloģijā, dzemdniecībā
10000996;Puļķe Sintija - ģimenes ārsta un ārsta homeopāta prakse
807600014;PP, Medicīnas centrs, Sabiedrība ar ierobežotu atbildību
880200052;Inetas Baumanes veselības centrs Maristella
900200062;Laukmane Vita - ārsta prakse zobārstniecībā
19377435;Zaharenkova Nataļja - ģimenes ārsta un arodveselības un arodslimību ārsta prakse
19377439;Valucka Tatjana - ģimenes ārsta prakse
19375430;Žubule Janīna - ģimenes ārsta prakse
326100001;Eglīte Daina - ģimenes ārsta prakse
641600005;Leimane Daiga -ģimenes ārsta un kardiologa prakse
380200009;Vīķele Rasma - ģimenes ārsta prakse
380200002;Silauniece Modrīte - ģimenes ārsta prakse 
90000026;Zemgales veselības centrs, Sabiedrība ar ierobežotu atbildību 
19377437;Teršukova Larisa - ģimenes ārsta prakse
560200001;Bērziņa Baiba - ģimenes ārsta prakse
19164058;Meitas un Dēli, Sabiedrība ar ierobežotu atbildību
460200007;Apine Māra -ģimenes ārsta prakse 
840200009;Ozola Māra - ģimenes ārsta prakse 
840200021;Rolava Videga - ģimenes ārsta, internista un onkologa ķīmijterapeita prakse
840200017;Bitmane Maija - ārsta internista prakse
840200015;Tereško Dzintra - ģimenes ārsta prakse 
10001027;Lapuķe Sandra - ārsta radiologa diagnosta prakse
10001029;ECORUS, SIA
90000075;G.V.-masāžas un kosmētiskais kabinets, IK 
19275423;Šabanova Larisa -ģimenes ārsta prakse 
130000050;Znotiņa Iveta-internista un kardiologa ārsta prakse 
250000106;Vinetas Volkovičas Ārsta Prakse, Sabiedrība ar ierobežotu atbildību  
360200027;Alūksnes slimnīca, Sabiedrība ar ierobežotu atbildību 
420200001;Vidzemes vēnu centrs, Sabiedrība ar ierobežotu atbildību
10000061;Rīgas patversme
250000038;JURATES, SIA
10000014;Stoligvo Lada - ārsta prakse psihiatrijā
50000018;Jakovļeva Olga - fizioterapeita prakse 
10001015;Dambe Ieva - ārsta prakse otolaringoloģijā 
10000904;DOMAS SPĒKS, Sabiedrība ar ierobežotu atbildību 
10001934;Loginas Mikroķirurģijas un Rehabilitācijas centrs, SIA
500200006;Veigule Mārīte - ārsta prakse zobārstniecībā 
10001023;D.N.S., Sabiedrība ar ierobežotu atbildību 
10000120;Kunstberga Elga - ģimenes ārsta prakse 
640600006;DAKTERIS IMANTS, SIA
170077431;Šīrs Voldemārs -ārsta prakse endokrinoloģijā un akupunktūrā
360200040;Rībeļi, Sabiedrība ar ierobežotu atbildību
781800001;Krupeņko Jurijs - ārsta prakse traumatoloģijā un ortopēdijā 
500200007;Poliņa Aija - ārsta prakse zobārstniecībā 
110000002;Ineses Mālnieces zobārstniecības prakse, Individuālais komersants 
10001048;Siriuss SA, SIA
90000036;Fišere Sanita - masiera prakse
50000017;GRĪVAS POLIKLĪNIKA, Sabiedrība ar ierobežotu atbildību
90000055;Dalke Inguna - ārsta prakse zobārstniecībā
761200001;Līvānu slimnīca, Līvānu novada domes pašvaldības sabiedrība ar ierobežotu atbildību
420200019;Štālmane Olga - masiera prakse
880200033;N. Strautmaņa ārsta prakse, SIA 
400200048;Petronis Sandris - ārsta prakse traumatoloģijā, ortopēdijā
901200013;Ševčuka Marija - ārsta prakse neiroloģijā un oftalmoloģijā
901200013;Ševčuka Marija -ārsta prakse neiroloģijā un oftalmoloģijā
427700004;DENTARIO, Sabiedrība ar ierobežotu atbildību
440200009;Strode Sandra -ģimenes ārsta prakse 
420200040;Banga Sarmīte - fizikālās un rehabilitācijas medicīnas ārsta prakse 
620200025;Cakule Gita - ģimenes ārsta prakse
250000081;Krustiņa Dace - ģimenes ārsta un arodveselības un arodslimību ārsta prakse
380200022;Avramenko Tatiana - ārsta prakse zobārstniecībā 
880200026;INETA SKUČENKOVA, IK 
10001065;Krūka Armands - zobu tehniķa prakse
880200027;Īrisa Savicka, IK 
840200059;DRUVAS DOKTORĀTS, SIA
10001073;Plotniece Ruta - ārsta prakse neiroloģijā 
10001074;meili, IK
460200019;Zobārste Gita Lāma, IK
380200010;Vancāns Jānis - ģimenes ārsta prakse
50077212;Griškjane Vanda - ārsta prakse zobārstniecībā
50077453;Kameņeckis Miroslavs - ģimenes ārsta prakse 
641600007;BUNKAS FELDŠERU PUNKTS, PRIEKULES NOVADA DOME
50075425;Muhamendrika Jeļena - ģimenes ārsta prakse
50075401;Matvejeva Irina - ģimenes ārsta prakse
10001054;LORADENT, Sabiedrība ar ierobežotu atbildību
50000025;Sergeja Hobotova traumatoloģijas un ortopēdijas klīnika, SIA
807400002;Sprūde Jevgeņija - ģimenes ārsta prakse 
400200003;Krūmiņa Lija - ģimenes ārsta, kardiologa, internista, reimatologa un algologa ārsta prakse 
250000119;REHS, Sabiedrība ar ierobežotu atbildību 
460800006;Auces slimnīca, Auces pašvaldības SIA
10000959;Strazdiņš Jānis - ārsta prakse narkoloģijā
641600011;VIRGAS VESELĪBAS APRŪPES CENTRS, PRIEKULES NOVADA DOME
10001041;Ribkina Olga - ģimenes ārsta un akupunktūras ārsta prakse
50077456;Šeršņova Nadežda - ģimenes ārsta prakse 
10064552;Raida, Sabiedrība ar ierobežotu atbildību 
50065401;Valeo K, SIA 
620200046;Zīle Inese - ģimenes ārsta prakse 
621200010;P/I Skrundas veselības un sociālās aprūpes centrs, Skrundas novada pašvaldība
10001057;Bērtule Inese - ārsta radiologa diagnosta prakse
880200063;Lunde Dzintra -ģimenes ārsta prakse
660200003;Padoms Raitis - ārsta prakse traumatoloģijā, ortopēdijā
680200001;Zaharenoks Valerijs - ārsta prakse neiroloģijā
941600003;Zušmane Evita - ģimenes ārsta prakse 
210075401;Masjulis Vladimirs -ģimenes ārsta prakse 
780200039;VERĒMU FELDŠERU - AKUŠIERU PUNKTS, RĒZEKNES NOVADA PAŠVALDĪBAS VĒRĒMU PAGASTA PĀRVALDE
620200033;Līgas Vaļģes ārsta prakse, SIA
10000395;Ginekologa Ilzes Lieljures privātprakse ASKLĒPIJS, Sabiedrība ar ierobežotu atbildību
10000323;Lejniece Sarmīte - ārsta prakse ginekoloģijā, dzemdniecībā
10000316;Tamane Sandra - ārsta prakse dzemdniecībā un ginekoloģijā 
10001090;Ārstes Santas Lauskas klīnika, SIA 
460200030;I. Dūrējas ģimenes ārsta prakse, Sabiedrība ar ierobežotu atbildību
10001064;Cercina Laima - fizioterapeita prakse
10001062;Dimiņa Laura - fizioterapeita prakse
50075410;Marhele Lidija - ģimenes ārsta un arodveselības un arodslimību ārsta prakse
880200010;Blese Pēteris - ģimenes ārsta prakse 
880200040;Careva Aija - ģimenes ārsta prakse 
10000247;DENTILS, IK Zobārstniecības uzņēmums
10000502;Acu veselības centrs, Sabiedrība ar ierobežotu atbildību 
648500002;Stepanova Vija - ģimenes ārsta un arodveselības un arodslimību ārsta prakse
250000102;Riža Jānis - ārsta radiologa diagnosta prakse
900200004;R.E.L.M., IK
50077478;J.Kosnareviča-prakse oftalmoloģijā, Sabiedrība ar ierobežotu atbildību
601000001;Krāslavas novada Veselības un sociālo pakalpojumu centrs Dagda
170077403;Pavlova Arta - ārsta prakse pediatrijā
10001070;Muižzemniece Irita - ģimenes ārsta prakse
10064015;Latvijas Samariešu apvienība, Biedrība
805200002;Indrāne Maira - ģimenes ārsta prakse
250000099;Vītiņa Ingrīda - masiera prakse
50075424;Grišāne Ingrīda - ģimenes ārsta prakse
420200039;I.ZUPAS ĀRSTU PRAKSE, SIA
10000939;AMH, Sabiedrība ar ierobežotu atbildību
880200014;Skulte Mārīte - ārsta prakse kardioloģijā
90000006;Zīle Anda - ģimenes ārsta prakse
250000103;Bikre, Sabiedrība ar ierobežotu atbildību
10001093;Vaisa Valentina - masiera prakse
967100002;VECATES PAGASTA MEDPUNKTS, Burtnieku novada pašvaldība
400200054;Sandras Lapsas-Ārentas ģimenes ārstes prakse, Sabiedrība ar ierobežotu atbildību
760200003;LĀZERS, Sabiedrība ar ierobežotu atbildību
10068301;NMS Laboratorija, SIA
780200032;RIKAVAS FELDŠERU - VECMĀŠU PUNKTS, RĒZEKNES NOVADA PAŠVALDĪBAS RIKAVAS PAGASTA PĀRVALDE
980200007;Bernšteine Jeļena - ģimenes ārsta prakse
90064504;Parks2004, Sabiedrība ar ierobežotu atbildību
321400001;Veisa Olga - ārsta prakse zobārstniecībā 
50075438;Savicka Gaļina - ģimenes ārsta prakse 
740200066;Krievāne Dace - ģimenes ārsta, kardiologa, arodveselības un arodslimību ārsta prakse
885100002;Dundagas veselības centrs, SIA
90000079;Bergmane Irina - ārsta prakse zobārstniecībā 
19577421;GAILIS, Sabiedrība ar ierobežotu atbildību
10020301;Rīgas1. slimnīca, SIA
50000005;Čebotarjova Olga - ārsta prakse neiroloģijā
50075409;Keviša-Petuško Jeļena - ģimenes ārsta prakse 
10000566;Bogdanova Aija - ārsta prakse endokrinoloģijā 
701800002;Varakļānu veselības aprūpes centrs, SIA 
840200057;Ūdra Ineta - ģimenes ārsta prakse
760200021;Pliča Daina - ārsta prakse ķirurģijā
19477418;Magerova Neonila - ģimenes ārsta un internista prakse
840200035;RABIKA, SIA Ārsta prakse
19177464;Daces Tuzikas ārsta prakse, Sabiedrība ar ierobežotu atbildību
801600049;ŠARLOTE A.S., Sabiedrība ar ierobežotu atbildību
50000113;Skaistuma pasaule, Sabiedrība ar ierobežotu atbildību
90000067;Atslēdziņa Laila - ārsta prakse dermatoloģijā, veneroloģijā
10077214;Sviķis Imants - ārsta prakse zobārstniecībā 
19464514;EVARS, Sabiedrība ar ierobežotu atbildību
440200013;MEDUMU PAGASTA FELDŠERU-VECMĀŠU PUNKTS, MEDUMU PAGASTA PĀRVALDE 
170000024;Vīksna Guna - ārsta prakse kardioloģijā 
460200024;Vasiļjeva Ludmila - ārsta prakse zobārstniecībā 
967100004;Poikāne Guna - ģimenes ārsta prakse 
641600010;KALĒTU FELDŠERU PUNKTS, Priekules novada pašvaldība
500200010;Ziemele Ingūna - ārsta prakse zobārstniecībā
19177440;Vecvagars Ainārs - ārsta prakse neiroloģijā 
624275401;Zdanovska Gundega -ģimenes ārsta prakse
940200010;Batalauska Vija -ārsta prakse ginekoloģijā, dzemdniecībā
601000009;Antonovs Sergejs - ģimenes ārsta prakse
10000101;Marinas Zamullo ārsta prakse, SIA
601000007;Sipoviča Olga - ģimenes ārsta prakse 
601000006;Rutka Zinaīda - ģimenes ārsta prakse
961000003;Mazsalacas slimnīca, Sabiedrība ar ierobežotu atbildību
601000011;Leonardova Ļubova - ģimenes ārsta prakse 
110000007;Nenišķe Iveta - ģimenes ārsta prakse
601000008;Meļņikova Tatjana -ārsta prakse oftalmoloģijā 
170000107;Vigule Inga - ārsta radiologa diagnosta prakse 
10001105;NMS, SIA
661400014;Dziedātāja-Baķe Ilze - masiera prakse
660200017;G.Ozolas ģimenes ārsta prakse, Sabiedrība ar ierobežotu atbildību
500200052;Balvu un Gulbenes slimnīcu apvienība, Sabiedrība ar ierobežotu atbildību
250000132;HIERONYMUS, SIA
19175429;Forvaters Terra, Sabiedrība ar ierobežotu atbildību 
941800004;Strenču psihoneiroloģiskā slimnīca, Valsts sabiedrība ar ierobežotu atbildību
170077454;Kulmane Lelde -ārsta radiologa diagnosta prakse
420200053;ĢIMENES ZOBĀRSTNIECĪBA, SIA
10000484;Bērnu un jauniešu basketbola skola Rīga
840200008;Šenbrūna Sarmīte - ģimenes ārsta prakse 
620200042;Smiltāns Guntis - ārsta prakse uroloģijā 
19177449;Jaunušāns Edvīns - ārsta prakse narkoloģijā 
380200014;Aborinska Rūta - ārsta prakse oftalmoloģijā 
10000873;LAIMDOTAS BERĢĪTES ĀRSTA PRAKSE, Sabiedrība ar ierobežotu atbildību
961600011;Ārgale Vēsma - ārsta prakse kardioloģijā
940200015;Kļaviņa Ritma -ģimenes ārsta prakse
10000291;M.I.V., SIA 
801800009;Nellijas Milleres privātprakse, IK
406475401;ANNAMED, Sabiedrība ar ierobežotu atbildību
700200026;Ozoliņa Rita - ārsta prakse zobārstniecībā
10000297;Pārtikas drošības, dzīvnieku veselības un vides zinātniskais institūts BIOR
680200018;ŅUKŠU FELDŠERU - VECMĀŠU PUNKTS, Ludzas novada pašvaldība 
680200038;NIRZAS FELDŠERU - VECMĀŠU PUNKTS, NIRZAS PAGASTA PĀRVALDE
680200017;ISTALSNAS FELDŠERU - VECMĀŠU PUNKTS, Ludzas novada pašvaldība
130000052;JANAS FROLOVAS PSIHOLOGA PRIVĀTPRAKSE, IK 
406400005;Ilzes Vaičekones ārsta prakse, Sabiedrība ar ierobežotu atbildību 
10064120;Veselības centru apvienība, AS
880200037;Dreiberga Arta - ārsta prakse ginekoloģijā un dzemdniecībā 
660200028;Limbažu un Salacgrīvas novadu sporta skola
740600007;Radiks, SIA 
680200016;CIRMAS FELDŠERU - VECMĀŠU PUNKTS, CIRMAS PAGASTA PĀRVALDE
19177801;Apīne Sandra - masiera prakse
10000413;Užāns Andis - ārsta prakse psihoterapijā
210075407;Irēnas Čirko ģimenes ārsta prakse, Sabiedrība ar ierobežotu atbildību
210075411;Fjodorova Inga - ģimenes ārsta prakse 
130000025;ARBAT RĪGA, Sabiedrība ar ierobežotu atbildību Latvijas-Krievijas kopuzņēmums 
10000308;Medvita, Sabiedrība ar ierobežotu atbildību 
19377404;Briška Valentīna - ārsta prakse ginekoloģijā un dzemdniecībā
270000026;Arfundejeva Irina - ārsta prakse zobārstniecībā
801000019;Dzene Sanita - ģimenes ārsta prakse 
19375403;Gailīte Agita - ģimenes ārsta prakse 
360200038;Sausā Sarmīte- masiera prakse 
10000988;Villa Dental, Sabiedrība ar ierobežotu atbildību
210075408;Mačuļska Natālija-ģimenes ārsta prakse
210075422;Čaika Natālija - ģimenes ārsta, endokrinologa, arodveselības un arodslimību ārsta prakse
900200066;Frīdenberga Gunta - ārsta prakse ginekoloģijā, dzemdniecībā 
270000002;Renātes Krūkles privātprakse, SIA
680200013;Vasiļjevs Roberts -ģimenes ārsta prakse 
680200020;PILDAS LAUKU AMBULANCE, PILDAS PAGASTA PĀRVALDE
19367401;I.VASARAUDZES PRIVĀTKLĪNIKA, Sabiedrība ar ierobežotu atbildību 
50075429;Šatilova Nadežda -ģimenes ārsta prakse 
110000005;Pudule Baiba - ģimenes ārsta prakse 
